id,lat,lng,start_date,end_date,size,cloudcover,satellite,station,downloaded_path
117,0.3756,35.6013,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
118,0.3756,35.6013,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
119,0.3756,35.6013,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
120,19.162,73.6873,20140730,20150126,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/147047/2014-09-28/LC08/1;/mnt/d/ProjectData/Landsat/Images/147047/2014-10-14/LC08/0;/mnt/d/ProjectData/Landsat/Images/147047/2015-01-18/LC08/0;
121,3.8581,-76.8501,20111007,20120404,Large,10,LC8,ALL,NODATA
122,26.7103,94.693,20130811,20140207,Very_large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/135041/2013-10-23/LC08/8;/mnt/d/ProjectData/Landsat/Images/135041/2013-11-08/LC08/0;/mnt/d/ProjectData/Landsat/Images/135042/2013-11-08/LC08/2;/mnt/d/ProjectData/Landsat/Images/135041/2013-11-24/LC08/1;/mnt/d/ProjectData/Landsat/Images/135042/2013-11-24/LC08/1;/mnt/d/ProjectData/Landsat/Images/135041/2013-12-10/LC08/9;/mnt/d/ProjectData/Landsat/Images/135042/2013-12-10/LC08/2;/mnt/d/ProjectData/Landsat/Images/135041/2014-01-27/LC08/5;/mnt/d/ProjectData/Landsat/Images/135042/2014-01-27/LC08/1;
123,-0.7416,-79.9205,20120313,20120909,Large,10,LC8,ALL,NODATA
124,31.2922,103.2827,20080512,20081108,Very_large,10,LC8,ALL,NODATA
125,-17.5018,177.8515,20120130,20120728,Large,10,LC8,ALL,NODATA
126,0.9039,123.0963,20150118,20150717,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/113059/2015-03-09/LC08/3;/mnt/d/ProjectData/Landsat/Images/113059/2015-04-10/LC08/16;/mnt/d/ProjectData/Landsat/Images/113059/2015-05-28/LC08/16;/mnt/d/ProjectData/Landsat/Images/113059/2015-07-15/LC08/9;
127,-7.3674,109.7303,20141204,20150602,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/120065/2015-02-22/LC08/6;/mnt/d/ProjectData/Landsat/Images/120065/2015-05-29/LC08/13;
128,31.747,35.5915,20070415,20071012,Large,10,LC8,ALL,NODATA
129,12.8836,120.9877,20110804,20120131,Large,10,LC8,ALL,NODATA
130,-22.0811,-42.6935,20110112,20110711,Large,10,LC8,ALL,NODATA
131,27.4761,103.763,20110625,20111222,Very_large,10,LC8,ALL,NODATA
132,27.6558,88.605,20120919,20130318,Large,10,LC8,ALL,NODATA
133,35.049,72.7541,20100730,20110126,Large,10,LC8,ALL,NODATA
134,37.7356,111.3054,20080613,20081210,Large,10,LC8,ALL,NODATA
135,27.174,95.8011,20120625,20121222,Large,10,LC8,ALL,NODATA
136,-1.5253,29.2908,20100516,20101112,Very_large,10,LC8,ALL,NODATA
